"","CodigoMateria","DataApresentacao","AnoMateria","Legislatura","class_tematica","TipoIniciativa","Autor","autor_un","Sexo","partido","uf","regiao"
"126",122549,"2015-08-05",2015,"55ª","Proteção aos Animais","Individual","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT","Centro-Oeste"
"127",122555,"2015-08-05",2015,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"128",123190,"2015-09-16",2015,"55ª","Recursos Hídricos","Individual","Senador Marcelo Crivella (REPUBLICANOS/RJ)","Marcelo Crivella","M","REPUBLICANOS","RJ","Sudeste"
"129",119767,"2015-02-25",2015,"55ª","Recursos Hídricos","Individual","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB","Nordeste"
"130",119846,"2015-03-03",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"131",119892,"2015-03-04",2015,"55ª","Recursos Hídricos","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
"132",120256,"2015-03-24",2015,"55ª","Crimes e Infrações Ambientais","Individual","Senador Eduardo Amorim (PSC/SE)","Eduardo Amorim","M","PSC","SE","Nordeste"
"133",120957,"2015-04-29",2015,"55ª","Recursos Hídricos","Individual","Senador Otto Alencar (PSD/BA)","Otto Alencar","M","PSD","BA","Nordeste"
"134",121285,"2015-05-19",2015,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR","Norte"
"135",121454,"2015-05-27",2015,"55ª","Recursos Hídricos","Individual","Senador Dário Berger (MDB/SC)","Dário Berger","M","MDB","SC","Sul"
"136",122694,"2015-08-13",2015,"55ª","Recursos Hídricos","Individual","Senador Hélio José (PSD/DF)","Hélio José","M","PSD","DF","Centro-Oeste"
"137",124175,"2015-11-24",2015,"55ª","Recursos Hídricos","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
"138",124666,"2016-02-02",2016,"55ª","Conservação da Natureza e Florestas","Individual","Senadora Ana Amélia (PP/RS)","Ana Amélia","F","PP","RS","Sul"
"139",125742,"2016-05-16",2016,"55ª","Sustentabilidade e Energias Renováveis","Individual","Senador Telmário Mota (PDT/RR)","Telmário Mota","M","PDT","RR","Norte"
"140",127472,"2016-11-16",2016,"55ª","Conservação da Natureza e Florestas","Individual","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT","Centro-Oeste"
"141",124937,"2016-02-25",2016,"55ª","Crimes e Infrações Ambientais","Individual","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB","Nordeste"
